update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate,talk_rate,gate_loss
1,-2.363171914386037,5.552913787242775,6,6,7,47.66529083251953,-0.0719912052154541,43.01285457611084,103,182,1.5,0.5,0.5125,-0.073
2,-5.059147988584687,14.145732061143221,2,3,1,15.513715744018555,-0.08294830471277237,82.37906742095947,62,200,1.5,0.5625,0.5025,-0.0692
3,-0.6718330383881392,1.8925532796108107,6,5,7,59.903785705566406,-0.06315849721431732,123.28661012649536,115,180,1.5,0.5,0.54,-0.0696
4,2.0465642655648395,0.09577487603650425,5,5,5,60.21062469482422,-0.053880803287029266,163.00620770454407,146,174,1.5,0.5,0.5175,-0.072
5,1.3553826522493448,-2.135045042253066,4,3,5,48.3425178527832,-0.08708853274583817,202.93645596504211,131,93,1.5,0.4783,0.54,-0.0702
6,-1.8783292311158617,3.4184221115186113,6,5,6,51.59062576293945,-0.07113301753997803,245.47571468353271,109,173,1.5,0.4655,0.49,-0.0699
7,3.3231011542023228,-6.062388200114273,7,5,9,73.44500732421875,-0.057970110327005386,286.58802914619446,157,159,1.5,0.4444,0.525,-0.07
8,-14.966529776168539,15.463635164982986,1,1,2,18.653308868408203,-0.07473144680261612,325.90410566329956,28,190,1.5,0.4459,0.535,-0.0693
9,2.048925446916827,-2.3246169360086557,7,5,9,74.26524353027344,-0.058498967438936234,368.255832195282,152,150,1.5,0.4318,0.5025,-0.0714
10,3.4946970030269355,9.329539641006933,6,8,3,42.2332763671875,-0.04605725407600403,408.3059923648834,120,192,1.5,0.46,0.46,-0.0738
11,-2.9174567302949104,2.1117819530201754,4,3,6,51.13117980957031,-0.07637296617031097,447.9344696998596,151,147,1.5,0.4479,0.4825,-0.0694
12,-3.5299229059065307,-1.1166970151064022,4,2,5,36.369590759277344,-0.07196074724197388,489.0749440193176,189,93,1.5,0.42,0.48,-0.0722
13,-0.2019521942025591,-4.552469753965912,5,3,8,42.049461364746094,-0.06515802443027496,529.1718156337738,167,192,1.5,0.4082,0.4775,-0.0723
14,-0.10484193783900615,-2.8817579439078385,5,3,7,59.10273742675781,-0.06863213330507278,569.3278925418854,170,90,1.5,0.3878,0.4625,-0.0706
15,7.017678387187433,0.39099455013830064,5,5,5,57.31675338745117,-0.0545584075152874,609.054607629776,87,195,1.5,0.4,0.4525,-0.0698
16,-5.2138216493564835,3.7218659464338386,6,4,7,56.819339752197266,-0.06922565400600433,649.4537925720215,118,158,1.5,0.39,0.4525,-0.0705
17,0.28303147263562095,-2.974218412058977,7,5,9,60.56227111816406,-0.07244895398616791,689.8581941127777,112,180,1.5,0.39,0.4675,-0.0711
18,12.769798001403391,-2.3601785935407165,1,1,0,11.499096870422363,-0.09545396268367767,729.0588474273682,14,200,1.5,0.39,0.4725,-0.0724
19,-0.8050424804947728,4.656551788331109,5,5,5,63.177955627441406,-0.04770543426275253,768.9500730037689,190,94,1.5,0.4062,0.5,-0.0697
20,-8.9194965011599,-1.8337581635127294,3,1,6,35.40306091308594,-0.052171118557453156,809.9480273723602,76,138,1.5,0.3556,0.4975,-0.0704
21,2.8302536772808446,4.3171138640221045,4,4,3,51.9946174621582,-0.05230918526649475,851.0529072284698,181,76,1.5,0.3667,0.5825,-0.07
22,5.778819289269332,-9.433383112354072,3,2,4,21.964576721191406,-0.05700090900063515,890.1232051849365,57,187,1.5,0.375,0.4925,-0.0709
23,13.723568280022324,-10.262662697174763,1,2,1,14.542458534240723,-0.08982647210359573,929.1510853767395,51,192,1.5,0.4,0.5175,-0.0755
24,5.044199628831032,-7.442480021735646,4,2,4,30.669597625732422,-0.07235705852508545,968.3211877346039,161,159,1.5,0.3974,0.51,-0.0705
25,-8.874651613419848,14.501541792434628,1,1,2,56.699737548828125,-0.07829418778419495,1007.317857503891,200,43,1.5,0.3857,0.4825,-0.0692
26,-4.2697759150247805,4.682562378497262,4,3,5,34.42726135253906,-0.06124994531273842,1047.273870229721,93,159,1.5,0.3939,0.4275,-0.0765
27,1.7400433565223759,0.3265198286338623,7,6,7,49.425926208496094,-0.0886700451374054,1088.3013439178467,163,155,1.5,0.4091,0.47,-0.0672
28,-10.0,-11.040367729530953,1,0,3,66.57955932617188,-0.11070559918880463,1127.0614807605743,24,200,1.5,0.3939,0.405,-0.0727
29,-7.119406758615174,-1.3995550137505228,3,2,4,30.09316635131836,-0.07586066424846649,1168.126369714737,157,141,1.5,0.371,0.465,-0.0697
30,-3.722408155166721,3.259848560820662,4,3,5,43.63880920410156,-0.10267629474401474,1209.2701332569122,196,60,1.5,0.3906,0.47,-0.0684
31,9.354428130238889,-10.00945766562097,3,2,4,34.603267669677734,-0.08589403331279755,1248.9747142791748,156,126,1.5,0.371,0.43,-0.069
