update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec
1,-251.2840881691534,-236.02716616362585,1,0,16,741.2720336914062,-0.04413522407412529,114.87190556526184
2,-227.9043800492629,-248.52956353258156,1,0,17,705.2345581054688,-0.03411152586340904,229.1392858028412
3,-231.25873299194922,-237.3571649687138,1,0,13,686.348388671875,-0.03248367831110954,343.7269883155823
4,-215.99555171567155,-241.61240637119292,1,0,12,668.6124877929688,-0.03210773319005966,458.07231187820435
5,-265.963830283189,-258.17581130205616,1,0,20,868.195068359375,-0.03590992093086243,572.6321139335632
6,-289.9710570146283,-302.09403620588336,1,0,34,1125.33544921875,-0.03230778127908707,687.2223463058472
7,-246.28983742401078,-223.33730785554687,1,0,16,686.2337036132812,-0.031848784536123276,801.5641219615936
8,-209.07348376861586,-218.86576512975603,1,0,13,579.80712890625,-0.04848562553524971,916.130087852478
9,-254.5175589857403,-294.2022024035428,1,0,25,893.4862060546875,-0.04637038707733154,1030.6305615901947
10,-264.92300581661823,-262.1491854763572,1,0,24,796.0347900390625,-0.033174749463796616,1145.0719892978668
11,-238.94963331907388,-259.86950901955214,1,0,17,663.3546752929688,-0.06238530948758125,1259.5174961090088
12,-158.51683644010208,-244.97935878777696,1,1,12,521.8821411132812,-0.04033105447888374,1374.1350977420807
13,-216.23909923995967,-238.32185018204433,1,0,10,555.2985229492188,-0.03753221035003662,1488.66126871109
14,-228.12542606253874,-278.3284291984464,1,0,18,701.4461669921875,-0.028734952211380005,1603.2531394958496
15,-220.97435217078174,-240.88786592896895,1,0,10,510.278076171875,-0.03450749069452286,1717.6227960586548
16,-256.7988893285242,-248.21022122126996,1,0,17,695.600341796875,-0.04438023641705513,1831.9947154521942
17,-215.63562948069358,-233.7562657389117,1,0,14,560.1557006835938,-0.02618180215358734,1946.5095608234406
18,-236.87756599814173,-231.30602922815837,1,0,10,564.6397705078125,-0.047066427767276764,2061.0333285331726
19,-208.1980549506171,-203.08520075126452,1,0,6,410.4808349609375,-0.036298610270023346,2175.566321372986
20,-214.8147835625315,-206.91253794079114,1,0,3,405.65716552734375,-0.027660783380270004,2290.0996284484863
21,-205.35756603372076,-207.4879954516304,1,0,3,399.21954345703125,-0.07545451819896698,2404.6531026363373
22,-210.61684145914643,-214.61820305149334,1,0,6,441.430908203125,-0.027255689725279808,2519.1641125679016
23,-212.74868544133187,-173.076531007631,1,0,4,383.83868408203125,-0.029953472316265106,2633.765662431717
24,-214.9025847814047,-210.36589575920996,1,0,5,393.33966064453125,-0.029871448874473572,2748.4938185214996
25,-215.2773017803916,-216.00223182963762,1,0,5,422.6379089355469,-0.03680358827114105,2863.0530955791473
26,-212.4197358569091,-206.70814932525423,1,0,9,416.1949768066406,-0.03513175994157791,2977.568881750107
27,-212.56044421656722,-241.19933168648103,1,0,8,461.1743469238281,-0.028949404135346413,3092.218220949173
28,-220.43797090636127,-239.5633099581415,1,0,12,510.18310546875,-0.033758290112018585,3206.8187911510468
29,-209.0,-216.9590951568156,1,0,5,390.09979248046875,-0.03426821529865265,3321.368640422821
30,-240.60722015021582,-240.80922226909593,1,0,13,534.1852416992188,-0.03355701267719269,3435.909545660019
31,-208.01,-233.42853145921913,1,0,5,399.7822265625,-0.031142957508563995,3550.4296536445618
32,-220.599338992944,-252.45365108660826,1,0,12,549.8041381835938,-0.040648460388183594,3665.1137471199036
33,-189.43905866288094,-214.98914969766275,1,0,3,345.86798095703125,-0.02934526652097702,3779.6648242473602
34,-222.61121428985072,-207.31846291035274,1,0,5,386.876708984375,-0.037486687302589417,3894.2711324691772
35,-206.56976286944044,-230.32002956769426,1,0,6,391.1033630371094,-0.03411015495657921,4008.9204239845276
36,-215.82827584483886,-224.51996154734283,1,0,5,378.6695861816406,-0.041184090077877045,4123.718496799469
37,-212.75840433657888,-215.17396616854097,1,0,5,373.62347412109375,-0.03604999557137489,4238.419934511185
38,-222.51588936528157,-239.810022913621,1,0,8,448.8371276855469,-0.04407564923167229,4354.762317657471
39,-214.10567120272873,-209.0,1,0,3,345.58282470703125,-0.02996831014752388,4468.124342441559
40,-208.48167449628684,-208.05871443701835,1,0,6,370.078857421875,-0.02499995008111,4582.660451412201
41,-216.02712734103852,-229.75042591717786,1,0,6,367.3880920410156,-0.025811297819018364,4697.297922134399
42,-229.82691875758582,-204.10712942346657,1,0,6,382.8978271484375,-0.04460173845291138,4812.021519184113
43,-209.0,-230.1912669731746,1,0,5,335.7506408691406,-0.030966386198997498,4926.709867238998
44,-222.71033498941867,-234.75822431626474,1,0,9,437.8115539550781,-0.03270702064037323,5041.336745977402
45,-216.70575192453373,-219.57366344185095,1,0,5,358.83172607421875,-0.049047715961933136,5155.950985908508
46,-249.4430157698743,-209.82252101803005,1,0,9,440.79937744140625,-0.027361338958144188,5270.640904426575
47,-240.28426309700367,-198.84258830155122,1,0,9,389.52874755859375,-0.05447392910718918,5385.25590634346
48,-244.76810174316952,-245.2617085346904,1,0,16,517.053955078125,-0.03673040494322777,5501.631271600723
49,-234.78553512098486,-223.81139433199036,1,0,11,400.498046875,-0.031472474336624146,5614.975145101547
50,-230.71743450879126,-216.8916183596599,1,0,11,413.36767578125,-0.04193568229675293,5729.605370998383
51,-251.359015959679,-214.6737447699652,1,0,17,408.0170593261719,-0.04909514635801315,115.27507185935974
52,-247.38981188816004,-226.54935397532125,1,0,12,435.3563232421875,-0.03654911741614342,229.86052799224854
53,-225.82183278414664,-316.97745137834573,1,0,24,690.0194091796875,-0.03652331978082657,344.75020265579224
54,-227.41152741274132,-218.23021243541072,1,0,12,377.44818115234375,-0.03485562652349472,459.5647990703583
55,-219.52120283632115,-223.3937779550817,1,0,10,346.48211669921875,-0.025389576330780983,574.3649497032166
56,-209.33389160132614,-206.4441087903281,1,0,3,307.62841796875,-0.029559364542365074,689.1675312519073
57,-224.18680345944915,-257.71613194046006,1,0,14,485.8994445800781,-0.029990090057253838,804.0819625854492
58,-231.0572504479111,-247.11729508615844,1,0,13,466.293212890625,-0.04337218403816223,919.0073816776276
59,-230.52787033228574,-218.26763062657176,1,0,10,385.21392822265625,-0.03435095399618149,1033.8841700553894
60,-234.84730515085107,-216.34820689667447,1,0,9,382.12530517578125,-0.028189782053232193,1148.7565417289734
61,-222.8539208662283,-213.09925194105747,1,0,6,317.41253662109375,-0.029010701924562454,1263.5378096103668
62,-208.01,-223.47477562434244,1,0,5,334.2977294921875,-0.03130735456943512,1378.5351016521454
63,-226.11683320912567,-215.96196297414224,1,0,9,349.49261474609375,-0.02809877321124077,1493.3650686740875
64,-206.87904151134748,-211.35201264602102,1,0,6,311.01776123046875,-0.03133874386548996,1608.2060420513153
65,-210.3356315484298,-221.9492617252329,1,0,6,317.121337890625,-0.031519465148448944,1723.0896925926208
66,-225.81534793355814,-206.75583024497638,1,0,6,302.6666564941406,-0.0310562402009964,1838.0464873313904
67,-207.87218836242764,-210.6953916300791,1,0,7,299.7105712890625,-0.04202672094106674,1952.8656964302063
68,-202.8493151111409,-233.40366881191665,1,0,11,335.7418518066406,-0.029371358454227448,2067.7905185222626
69,-212.80258882627703,-221.41486251510958,1,0,7,328.1884765625,-0.04917598143219948,2182.7001972198486
70,-234.09430148812365,-214.96384656603811,1,0,8,322.8340759277344,-0.02928829938173294,2297.5224487781525
71,-248.9891701967639,-229.02555154821874,1,0,12,453.11419677734375,-0.03354138880968094,2412.4079728126526
72,-229.62627621018015,-197.66466138922283,1,0,6,304.9373474121094,-0.034915365278720856,2527.092542886734
73,-227.7807097187678,-220.48874787278896,1,0,10,304.3072509765625,-0.03673771023750305,2642.06085062027
74,-231.62140647731815,-249.93090638455396,1,0,16,376.33697509765625,-0.03236236795783043,2756.9494512081146
75,-209.82586922194247,-211.5590084526488,1,0,5,297.9538269042969,-0.04005647450685501,2871.726865530014
76,-214.9348093874852,-255.29931190426555,1,0,13,459.3531799316406,-0.038556814193725586,2986.6248190402985
77,-219.01064311228225,-214.09134765480763,1,0,6,288.29461669921875,-0.0276059340685606,3115.8073625564575
78,-221.06900460559183,-217.87599944550755,1,0,6,299.57843017578125,-0.04604879766702652,3231.6139783859253
79,-220.45815042780524,-224.94641745302317,1,0,10,323.7991027832031,-0.03616374358534813,3345.3137304782867
80,-258.35766123281985,-230.34479725901878,1,0,14,416.33624267578125,-0.03621106222271919,3458.3193430900574
81,-218.79156235789407,-214.1388306805448,1,0,8,283.30621337890625,-0.03128368407487869,3570.657933950424
82,-220.96703282778248,-235.03291073701402,1,0,16,342.1679382324219,-0.03673570603132248,3684.9565920829773
83,-236.31230159270746,-240.91296290462813,1,0,11,410.625732421875,-0.03404919058084488,3799.5248172283173
84,-182.17485274428878,-213.5705794205706,1,0,4,265.3973693847656,-0.025084050372242928,3914.0062568187714
85,-206.8970739915926,-235.39480984723693,1,0,7,313.8238525390625,-0.04099833220243454,4028.4152796268463
86,-210.57450531977054,-218.89943341435,1,0,6,295.24200439453125,-0.031434524804353714,4142.8288288116455
87,-250.13229508411388,-218.59536606490207,1,0,10,373.36285400390625,-0.034249842166900635,4259.012815952301
88,-206.7433691615336,-208.9889696890412,1,0,5,260.96197509765625,-0.04085526615381241,4372.277201652527
89,-224.94035676512078,-229.86065647114285,1,0,10,323.340087890625,-0.030548924580216408,4486.764167547226
90,-225.28327061382853,-206.95818407393972,1,0,6,291.3588562011719,-0.034679923206567764,4601.33181810379
91,-227.1050157115313,-206.9102997635241,1,0,6,272.2914123535156,-0.03179064393043518,4715.82528424263
92,-246.6656436289205,-236.80025406898392,1,0,15,439.03570556640625,-0.03234390914440155,4830.453856706619
93,-212.91543179082893,-204.88661810009583,1,0,6,266.51348876953125,-0.02874469757080078,4944.91680598259
94,-219.56189759576358,-208.6315476941555,1,0,8,266.41937255859375,-0.030793771147727966,5059.474927902222
95,-252.375022027741,-227.68842473933063,1,0,14,395.83135986328125,-0.0321892648935318,5174.051414728165
96,-230.9621944541862,-216.15966307547123,1,0,9,290.11138916015625,-0.03526794910430908,5288.425003051758
97,-230.56885969535523,-267.61644408860013,1,0,17,438.13031005859375,-0.04695601016283035,5404.828867673874
98,-220.42092663625613,-219.8934767251259,1,0,8,291.23388671875,-0.028349023312330246,5518.04706287384
99,-257.7088171685242,-218.02524065588202,1,0,12,330.8072814941406,-0.034802213311195374,5632.524962425232
100,-216.3497127766426,-221.71360812108634,1,0,6,287.7687072753906,-0.03408926725387573,5747.133668661118
